Predictor,Coefficient
(Intercept)  ,-0.27408761
FEMALE       ,-0.53009225
AGE_18_34    ,-2.95440193
AGE_35_44    ,-2.16305932
AGE_45_54    ,-1.17615522
AGE_55_64    ,-0.61718393
AGE_65_74    ,1.31733285
AGE_75_84    ,2.2816674
AGE_85PLUS   ,3.17983489
fELIX1       ,0.26908556
fELIX2       ,-0.14848912
fELIX3       ,-0.0701537
fELIX4       ,0.2383837
fELIX5       ,0.09408187
fELIX6       ,-0.76461415
fELIX7       ,-0.29858472
fELIX8       ,0.46429665
fELIX9       ,0.71714336
fELIX10      , .         
fELIX11      ,0.20691141
fELIX12      ,0.28252878
fELIX13      ,-0.07998382
fELIX14      ,0.37038673
fELIX15      ,0.12769379
fELIX16      , .         
fELIX17      , .         
fELIX18      ,0.50537848
fELIX19      ,1.45115948
fELIX20      ,0.76982246
fELIX21      ,0.12061699
fELIX22      ,0.30767585
fELIX23      ,0.48246412
fELIX24      ,0.40200481
fELIX25      ,0.32029006
fELIX26      , .         
fELIX27      , .         
fELIX28      ,0.3636246
fELIX29      ,0.66710386
fELIX30      ,0.18811278
fELIX31      , .         
fCCI1        ,0.31039927
fCCI2        ,-0.24000101
fCCI3        ,-0.37101268
fCCI4        ,0.32976897
fCCI5        ,0.38684766
fCCI6        ,-0.29605773
fCCI7        ,0.86441302
fCCI8        ,0.27024798
fCCI9        ,-0.15818552
fCCI10       ,-0.20710158
fCCI11       ,-0.67921926
fCCI12       ,-0.25496118
fCCI13       ,-0.30943741
fCCI14       , .         
fCCI15       ,0.34587124
fCCI16       ,0.18869783
fCCI17       ,0.17705594
fCCI18       ,-0.30827834
MEDICARE     ,2.6193973
REGION2      ,0.15678571
REGION3      ,0.02247326
REGION4      ,0.32218311
REGION5      , .         
fHOSPICE     ,1.74002671
fER          ,1.11801947
fIP          ,1.0582691
ELIX_SCORE   ,0.05248985
DISENR_MON2  ,-0.15272527
DISENR_MON3  ,-0.19048469
DISENR_MON4  ,-0.31028701
DISENR_MON5  ,-0.43555303
DISENR_MON6  ,-0.63741045
DISENR_MON7  ,-0.77236033
DISENR_MON8  ,-0.65947387
DISENR_MON9  ,-0.7532686
DISENR_MON10 ,-0.71365721
DISENR_MON11 ,-0.71908608
DISENR_MON12 ,-3.30187315
OBAMACARE    ,-0.21307175
ICDVER_10    , .         
